Health District,Week,Value
Chesapeake,Week 10,0
Chesapeake,Week 11,0
Chesapeake,Week 12,0.000184638
Chesapeake,Week 13,0.003508124
Chesapeake,Week 14,0.012186115
Chesapeake,Week 15,0.009231905
Chesapeake,Week 16,0.008862629
Chesapeake,Week 17,0.012370753
Chesapeake,Week 18,0.016986706
Chesapeake,Week 19,0.017171344
Chesapeake,Week 20,0.015140325
Chesapeake,Week 21,0.015140325
Chesapeake,Week 22,0.019940916
Chesapeake,Week 23,0.014771049
Chesapeake,Week 24,0.02049483
Chesapeake,Week 25,0.024741507
Chesapeake,Week 26,0.023079764
Chesapeake,Week 27,0.039881832
Chesapeake,Week 28,0.074778434
Chesapeake,Week 29,0.095642541
Chesapeake,Week 30,0.104320532
Chesapeake,Week 31,0.100443131
Chesapeake,Week 32,0.072562777
Chesapeake,Week 33,0.071085672
Chesapeake,Week 34,0.055391433
Chesapeake,Week 35,0.049113737
Chesapeake,Week 36,0.037296898
Chesapeake,Week 37,0.02640325
Chesapeake,Week 38,0.02640325
Chesapeake,Week 39,0.021787297
Chesapeake,Week 40,0.011078287
Norfolk,Week 10,0
Norfolk,Week 11,0
Norfolk,Week 12,0.000514315
Norfolk,Week 13,0.002571576
Norfolk,Week 14,0.007714727
Norfolk,Week 15,0.00634322
Norfolk,Week 16,0.00634322
Norfolk,Week 17,0.010286302
Norfolk,Week 18,0.012686439
Norfolk,Week 19,0.017486714
Norfolk,Week 20,0.012172124
Norfolk,Week 21,0.031373221
Norfolk,Week 22,0.018001029
Norfolk,Week 23,0.01680096
Norfolk,Week 24,0.015429453
Norfolk,Week 25,0.01577233
Norfolk,Week 26,0.029830276
Norfolk,Week 27,0.054345963
Norfolk,Week 28,0.104063089
Norfolk,Week 29,0.125321447
Norfolk,Week 30,0.09977713
Norfolk,Week 31,0.084176239
Norfolk,Week 32,0.064289388
Norfolk,Week 33,0.053488771
Norfolk,Week 34,0.045602606
Norfolk,Week 35,0.046631236
Norfolk,Week 36,0.037030687
Norfolk,Week 37,0.026401509
Norfolk,Week 38,0.019715412
Norfolk,Week 39,0.022458426
Norfolk,Week 40,0.013372193
Virginia Beach,Week 10,0
Virginia Beach,Week 11,0
Virginia Beach,Week 12,0.002401469
Virginia Beach,Week 13,0.006780619
Virginia Beach,Week 14,0.015962707
Virginia Beach,Week 15,0.011583557
Virginia Beach,Week 16,0.006639356
Virginia Beach,Week 17,0.009605877
Virginia Beach,Week 18,0.010029665
Virginia Beach,Week 19,0.009888402
Virginia Beach,Week 20,0.00734567
Virginia Beach,Week 21,0.009605877
Virginia Beach,Week 22,0.013419975
Virginia Beach,Week 23,0.008475773
Virginia Beach,Week 24,0.012289871
Virginia Beach,Week 25,0.015680181
Virginia Beach,Week 26,0.020483119
Virginia Beach,Week 27,0.038847295
Virginia Beach,Week 28,0.092950982
Virginia Beach,Week 29,0.126430287
Virginia Beach,Week 30,0.120921034
Virginia Beach,Week 31,0.103404436
Virginia Beach,Week 32,0.073739229
Virginia Beach,Week 33,0.052126006
Virginia Beach,Week 34,0.04689928
Virginia Beach,Week 35,0.039836135
Virginia Beach,Week 36,0.037858455
Virginia Beach,Week 37,0.031360362
Virginia Beach,Week 38,0.031077836
Virginia Beach,Week 39,0.030088996
Virginia Beach,Week 40,0.014267552
